Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Address,Street Name
14018205,05/22/2009 12:00:00 AM,10/11/2009 12:00:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,142-35 84 DRIVE,84 DRIVE
13927593,05/11/2009 12:00:00 AM,05/12/2009 12:00:00 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,400 CLINTON AVENUE,CLINTON AVENUE
13748124,04/20/2009 12:00:00 AM,04/27/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,CABINETS,RESIDENTIAL BUILDING,97 ELDERT STREET,ELDERT STREET
14252406,06/24/2009 12:00:00 AM,06/27/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,245 SULLIVAN PLACE,SULLIVAN PLACE
13312299,03/07/2009 12:00:00 AM,03/07/2009 12:00:00 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,350A QUINCY STREET,QUINCY STREET
14295170,06/30/2009 12:00:00 AM,07/07/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,GAS,RESIDENTIAL BUILDING,393 JEROME STREET,JEROME STREET
15331001,11/19/2009 12:00:00 AM,12/17/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,RESIDENTIAL BUILDING,460 CONVENT AVENUE,CONVENT AVENUE
14337414,07/07/2009 12:00:00 AM,07/22/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,8610 25 AVENUE,25 AVENUE
14990253,10/03/2009 12:00:00 AM,10/10/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,32 EAST 76 STREET,EAST 76 STREET
14614459,08/10/2009 12:00:00 AM,02/08/2011 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Debris - Falling Or In Danger Of Falling,,208 AVENUE U,AVENUE U
15574460,12/23/2009 12:00:00 AM,12/28/2009 12:00:00 AM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street, 3 AVENUE,3 AVENUE
14992602,10/04/2009 12:00:00 AM,10/27/2009 12:00:00 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,Street,,
15191765,04/09/2009 12:00:00 AM,10/30/2009 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,1328 STERLING PLACE,STERLING PLACE
12934213,01/15/2009 12:00:00 AM,02/04/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,1506 OCEAN AVENUE,OCEAN AVENUE
15579674,12/23/2009 12:00:00 AM,12/23/2009 12:00:00 AM,DOT,Department of Transportation,Street Light Condition,Fixture/Luminaire Door Open,,,
14334674,07/07/2009 12:00:00 AM,08/05/2009 12:00:00 AM,DOT,Department of Transportation,Highway Condition,Graffiti - Highway,Highway,,
15404076,12/01/2009 12:00:00 AM,12/08/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,273 ROCHESTER AVENUE,ROCHESTER AVENUE
12879635,01/08/2009 12:00:00 AM,01/15/2009 12:00:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,,
14041712,05/26/2009 12:00:00 AM,05/29/2009 12:00:00 AM,DSNY,A - Brooklyn,Dirty Conditions,E3A Dirty Area/Alleyway,Lot,1327 PROSPECT PLACE,PROSPECT PLACE
14353809,07/09/2009 12:00:00 AM,07/15/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,RESIDENTIAL BUILDING,3405 NEPTUNE AVENUE,NEPTUNE AVENUE
15602618,12/29/2009 12:00:00 AM,01/05/2010 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,247 VERMONT STREET,VERMONT STREET
15412275,12/02/2009 12:00:00 AM,12/09/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,1753 47 STREET,47 STREET
12898570,01/11/2009 12:00:00 AM,01/12/2009 12:00:00 AM,DOT,Department of Transportation,Broken Muni Meter,No Receipt,Street,,
13529396,04/08/2009 12:00:00 AM,04/08/2009 12:00:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,
12907740,01/12/2009 12:00:00 AM,01/13/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,1841 DR M L KING JR BOULEVARD,DR M L KING JR BOULEVARD
14423889,07/19/2009 12:00:00 AM,07/21/2009 12:00:00 AM,DSNY,BCC - Queens West,Missed Collection (All Materials),2 Bulk-Missed Collection,Sidewalk,101-02 103 STREET,103 STREET
13430612,03/24/2009 12:00:00 AM,03/23/2009 12:00:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,
15103621,10/19/2009 12:00:00 AM,10/19/2009 12:00:00 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,375 JOHNSON AVENUE,JOHNSON AVENUE
14773271,09/01/2009 12:00:00 AM,09/04/2009 12:00:00 AM,DEP,Department of Environmental Protection,Noise,"Noise: Air Condition/Ventilation Equip, Commercial (NJ2)",,250 WEST 18 STREET,WEST 18 STREET
12842957,01/03/2009 12:00:00 AM,01/11/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,1926 WALTON AVENUE,WALTON AVENUE
15602818,12/24/2009 12:00:00 AM,12/24/2009 12:00:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,1295 PELHAM PARKWAY,PELHAM PARKWAY
13831660,04/29/2009 12:00:00 AM,05/01/2009 12:00:00 AM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,1981 HOMECREST AVENUE,HOMECREST AVENUE
15056037,10/13/2009 12:00:00 AM,10/20/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,568 WEST 192 STREET,WEST 192 STREET
13254040,02/26/2009 12:00:00 AM,03/03/2009 12:00:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,,
12866298,01/07/2009 12:00:00 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,3963 DURYEA AVENUE,DURYEA AVENUE
14516399,08/01/2009 12:00:00 AM,08/01/2009 12:00:00 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,117 MARTENSE STREET,MARTENSE STREET
13865952,05/04/2009 12:00:00 AM,05/07/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,RESIDENTIAL BUILDING,146 HENRY STREET,HENRY STREET
14888811,09/18/2009 12:00:00 AM,09/26/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,4917 5 AVENUE,5 AVENUE
12833428,01/02/2009 12:00:00 AM,01/08/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,1073 GREENE AVENUE,GREENE AVENUE
15286887,11/13/2009 12:00:00 AM,11/13/2009 12:00:00 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,104-49 118 STREET,118 STREET
13463523,03/30/2009 12:00:00 AM,04/05/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,2000 GRAND CONCOURSE,GRAND CONCOURSE
15303329,11/16/2009 12:00:00 AM,06/09/2011 12:00:00 AM,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint,Street,450 BEACH 124 STREET,BEACH 124 STREET
14259806,06/25/2009 12:00:00 AM,07/11/2009 12:00:00 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Contract Dispute,,93-45A 104 STREET,104 STREET
15166684,10/27/2009 12:00:00 AM,11/06/2009 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Failure To Maintain,,26 ROCKWELL AVENUE,ROCKWELL AVENUE
15177850,10/29/2009 12:00:00 AM,10/30/2009 12:00:00 AM,DOT,Department of Transportation,Street Condition,Blocked - Construction,Street,434 GREENWICH STREET,GREENWICH STREET
15519966,12/16/2009 12:00:00 AM,12/20/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,105 EAST 86 STREET,EAST 86 STREET
13957075,05/14/2009 12:00:00 AM,05/15/2009 12:00:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,347 REMSEN AVENUE,REMSEN AVENUE
14166832,06/12/2009 12:00:00 AM,06/19/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB,RESIDENTIAL BUILDING,1656 DR M L KING JR BOULEVARD,DR M L KING JR BOULEVARD
13930142,05/11/2009 12:00:00 AM,05/13/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,RESIDENTIAL BUILDING,1088 ANDERSON AVENUE,ANDERSON AVENUE
14698243,08/21/2009 12:00:00 AM,08/21/2009 12:00:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,
14259921,06/26/2009 12:00:00 AM,06/26/2009 12:00:00 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,236 EAST 3 STREET,EAST 3 STREET
14209522,06/18/2009 12:00:00 AM,06/21/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,564 WEST 126 STREET,WEST 126 STREET
14090158,06/02/2009 12:00:00 AM,06/12/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,3046 HOLLAND AVENUE,HOLLAND AVENUE
13191857,02/18/2009 12:00:00 AM,02/28/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,1702 CATON AVENUE,CATON AVENUE
13332346,03/10/2009 12:00:00 AM,03/14/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,476 HENDRIX STREET,HENDRIX STREET
14413537,07/17/2009 12:00:00 AM,08/11/2009 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,1544 BOONE AVENUE,BOONE AVENUE
13545790,04/11/2009 12:00:00 AM,04/11/2009 12:00:00 AM,DSNY,BCC - Queens East,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,91-43 SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD
14571605,02/02/2009 12:00:00 AM,03/30/2009 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,1400 GRAND CONCOURSE,GRAND CONCOURSE
14688666,08/20/2009 12:00:00 AM,08/23/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,LOCKS,RESIDENTIAL BUILDING,71 VILLAGE ROAD NORTH,VILLAGE ROAD NORTH
14385862,07/14/2009 12:00:00 AM,07/18/2009 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,GAS,RESIDENTIAL BUILDING,287 MONTAUK AVENUE,MONTAUK AVENUE
