total intl minutes,total eve minutes,total day minutes,total intl calls,total eve calls,total day calls,state,number vmail messages,international plan,voice mail plan,customer service calls,account length,churn
10.0,291.2,95.0,2,73,94,AL,28,no,yes,2,67,False
13.3,260.6,250.3,2,90,100,KS,0,no,no,2,46,True
11.6,128.3,193.3,4,94,106,GA,0,no,no,5,132,True
5.9,194.0,177.1,4,112,112,WI,0,no,no,1,94,False
6.4,184.0,218.0,8,94,86,MD,0,no,no,3,97,False
10.3,179.1,263.4,2,69,118,NC,0,no,no,0,103,False
5.0,280.4,180.6,3,99,65,SD,0,no,no,1,34,False
12.1,182.0,246.4,2,98,110,KS,0,yes,no,2,91,True
13.6,232.4,206.2,2,76,76,WY,0,no,no,1,64,False
8.0,155.0,157.9,5,101,105,IN,0,no,no,4,94,True
10.3,315.3,286.6,6,102,79,NY,23,no,yes,1,112,False
12.1,207.5,227.9,5,115,78,OH,0,no,no,1,83,False
7.2,254.7,221.9,5,84,114,RI,23,no,yes,2,120,False
13.0,223.1,279.9,2,109,121,KY,29,no,yes,1,57,False
12.6,230.9,125.2,9,101,123,IN,32,no,yes,3,100,False
8.5,227.3,134.2,2,132,85,NM,23,no,yes,2,122,False
9.4,267.8,198.5,3,60,99,VA,0,no,no,0,108,True
12.1,162.6,157.1,6,124,79,KY,0,no,no,1,107,False
14.0,157.1,190.2,6,70,119,AL,0,no,no,0,95,False
11.4,220.1,52.2,2,113,106,SC,0,no,no,2,106,False
10.9,243.5,239.1,3,79,88,MD,0,no,no,3,119,True
12.4,303.4,217.2,2,73,121,TX,0,no,no,0,98,True
8.5,212.8,208.7,4,104,150,CA,0,no,no,0,112,False
11.7,189.7,306.2,2,83,123,DC,22,no,yes,0,93,False
5.8,80.6,235.9,2,91,104,WY,0,no,no,3,151,False
12.1,169.8,187.5,4,94,110,NJ,20,yes,yes,1,93,False
9.8,237.4,209.4,11,117,49,MA,0,no,no,1,123,False
9.9,168.2,232.1,3,110,102,WI,0,no,no,1,142,False
13.1,215.1,94.4,9,101,80,DE,0,no,no,2,131,False
14.1,273.8,243.4,8,109,126,NE,38,no,yes,2,147,False
12.9,204.6,132.7,7,101,94,NM,19,no,yes,3,21,False
5.5,302.6,227.9,7,71,130,VT,0,no,no,1,128,True
11.3,241.6,142.0,5,89,140,DC,39,yes,yes,1,68,False
12.9,241.4,196.6,4,140,93,TN,30,no,yes,2,47,False
13.3,195.7,202.1,5,102,100,ID,0,no,no,2,114,False
6.3,187.4,230.9,2,90,87,AL,0,no,no,0,32,False
7.4,134.6,187.0,5,74,133,DE,0,no,no,2,142,False
7.4,271.7,211.7,7,77,107,WA,0,no,no,0,63,False
12.7,184.0,121.7,3,76,87,NH,24,no,yes,1,56,False
9.0,205.1,203.8,2,111,77,CT,0,no,no,1,74,False
9.0,164.1,155.4,3,45,127,IA,0,no,no,0,42,False
6.1,184.5,160.0,10,119,72,MS,34,no,yes,1,68,False
6.7,148.8,195.1,2,95,100,MT,0,no,no,0,132,False
12.9,202.8,129.3,2,89,103,MS,0,no,no,2,103,False
12.2,284.7,145.6,5,111,102,NY,0,no,no,0,122,False
9.7,223.5,211.1,9,97,89,ID,29,no,yes,2,77,False
17.0,180.5,144.5,6,85,107,PA,0,no,no,2,104,False
13.3,229.0,207.6,2,112,96,NM,0,no,no,1,63,False
7.5,201.0,207.5,16,116,138,MO,35,no,yes,4,84,False
11.1,106.2,146.7,4,74,128,IN,0,no,no,2,115,False
10.2,194.0,153.5,7,73,84,CO,27,no,yes,5,120,False
8.7,214.8,239.8,5,111,125,ID,0,no,no,2,97,False
11.8,199.2,117.8,4,105,100,OH,0,no,no,0,133,True
10.4,197.8,200.3,3,91,72,NE,16,yes,yes,1,112,False
9.3,161.8,175.6,4,118,147,MN,0,no,no,0,55,False
8.1,260.7,149.2,2,116,96,MN,0,no,no,1,95,False
11.3,167.7,181.4,3,92,111,FL,0,no,no,3,155,False
11.6,265.5,57.5,6,131,95,MI,0,no,no,3,53,False
12.0,123.1,116.8,2,123,119,WI,0,no,no,1,54,False
10.0,195.8,63.7,6,95,101,SD,0,no,no,1,116,False
9.4,219.9,282.5,4,48,114,NV,0,no,no,1,74,True
12.2,205.5,165.5,6,89,78,KS,0,no,no,0,52,False
5.6,221.5,160.3,1,70,45,WY,31,no,yes,1,107,False
11.6,255.5,133.3,2,127,101,DC,0,no,no,0,144,False
6.2,179.5,143.2,4,159,60,AR,0,yes,no,4,127,True
11.9,236.3,103.2,2,86,117,NC,44,yes,yes,0,77,True
8.4,167.7,167.8,12,69,91,WV,0,no,no,1,67,False
10.1,162.8,225.9,4,106,123,WV,0,no,no,1,104,False
10.8,141.8,143.6,5,86,88,PA,0,no,no,3,69,False
11.0,273.2,204.4,5,128,97,MI,0,no,no,1,52,False
6.1,158.2,166.3,5,86,125,CA,0,no,no,1,75,False
12.9,129.2,191.1,1,113,69,CA,0,no,no,0,37,False
11.1,89.8,150.0,3,95,98,NE,0,no,no,3,123,False
14.5,188.5,293.3,4,90,79,KS,0,yes,no,0,110,True
8.4,236.7,178.1,2,109,111,MA,30,no,yes,0,58,False
9.8,168.8,126.3,7,112,115,IA,0,no,no,2,86,False
10.2,230.7,202.4,2,115,115,MO,0,no,no,3,36,False
12.1,155.0,218.7,4,144,104,IN,33,no,yes,1,100,False
5.9,195.3,133.7,2,87,75,NV,0,no,no,0,91,False
10.6,197.4,215.1,10,69,140,AR,25,no,yes,1,89,False
7.6,167.6,230.9,4,121,92,MT,36,no,yes,3,48,False
11.4,224.9,185.0,3,98,88,CO,0,no,no,2,192,False
8.8,246.5,182.7,2,63,142,WY,0,no,no,1,225,False
11.3,208.0,112.0,4,112,90,WV,33,no,yes,2,54,False
11.6,154.5,261.4,2,102,108,WV,0,no,no,1,112,False
7.7,229.7,183.8,3,95,76,CO,30,no,yes,1,90,False
12.0,174.6,180.7,6,94,127,NJ,0,yes,no,2,42,False
5.4,213.0,125.6,5,90,108,DE,0,yes,no,1,89,False
11.4,107.9,200.0,2,104,66,NE,0,no,no,3,99,False
11.8,169.0,193.3,4,150,106,GA,0,no,no,0,194,False
12.0,171.2,152.9,5,107,119,AR,0,no,no,2,88,False
12.1,213.8,243.1,2,92,92,DE,33,no,yes,2,92,False
12.8,217.4,109.1,6,124,117,IL,0,no,no,0,67,False
13.9,117.9,157.4,11,80,99,OR,29,no,yes,4,33,True
6.5,206.5,25.9,7,96,119,WY,27,no,yes,1,53,False
12.3,181.6,144.0,2,100,90,OH,0,no,no,0,137,False
9.7,303.3,219.6,5,100,126,NY,0,no,no,1,64,False
9.5,173.7,169.8,7,101,136,KY,35,no,yes,2,108,False
4.1,185.3,220.2,2,99,109,NJ,37,yes,yes,0,95,True
11.0,243.2,230.9,2,99,132,PA,0,yes,no,0,122,True
8.3,211.7,197.2,4,115,97,RI,0,yes,no,4,85,False
10.0,222.1,219.9,4,77,102,UT,37,no,yes,1,144,False
11.3,216.1,217.3,3,95,91,MS,0,no,no,2,116,False
14.1,124.4,161.3,3,83,83,NY,0,yes,no,0,181,True
12.9,129.2,201.5,4,110,123,ME,0,no,no,1,19,False
15.2,148.3,188.5,5,115,152,AZ,0,no,no,2,100,False
9.2,208.4,160.1,3,112,63,TN,0,yes,no,2,146,False
9.1,157.5,70.7,3,87,108,MS,0,no,no,4,162,True
6.1,223.3,157.1,2,72,90,MN,0,no,no,1,50,False
10.1,206.7,102.8,7,91,119,NE,0,no,no,1,117,False
8.9,146.2,222.3,4,82,99,WV,0,no,no,3,79,False
10.0,309.2,200.4,2,105,87,OK,0,no,no,1,74,False
11.7,139.1,172.7,1,90,95,AR,0,no,no,2,68,False
9.5,212.2,144.2,4,74,87,MI,0,no,no,0,122,False
11.6,201.8,116.1,5,99,101,IL,0,no,no,0,179,False
10.6,223.4,239.3,6,127,102,NJ,0,no,no,0,108,False
8.4,161.7,203.6,3,127,61,GA,0,no,no,0,76,False
8.8,262.6,61.9,2,114,78,CO,0,no,no,3,88,False
11.6,144.5,240.8,1,92,104,AZ,0,no,no,0,138,False
5.6,207.2,95.4,5,101,105,CT,0,no,no,1,99,False
12.3,221.2,166.9,4,92,85,LA,27,no,yes,1,109,True
11.9,133.4,40.9,7,90,126,NJ,22,no,yes,0,95,False
10.7,213.6,115.6,6,100,77,NH,0,no,no,1,146,False
11.1,206.6,175.8,2,84,96,DE,26,no,yes,2,96,False
11.3,103.2,230.0,3,138,87,MS,0,no,no,2,77,False
9.5,246.6,190.0,4,78,100,NM,0,no,no,1,183,False
14.1,163.9,191.2,3,102,110,KS,0,no,no,1,99,False
10.5,241.4,187.5,5,116,99,IA,36,no,yes,3,141,False
12.2,115.5,189.8,4,83,110,UT,0,no,no,0,103,False
12.0,225.7,219.4,4,102,112,VT,0,yes,no,4,100,False
13.3,136.9,235.7,10,85,79,ID,0,no,no,1,169,False
11.4,281.7,239.7,1,92,87,NY,0,yes,no,1,126,True
12.2,178.6,169.3,3,91,108,OR,0,no,no,1,124,False
13.5,188.0,158.4,4,117,92,SC,0,no,no,4,101,True
10.4,141.9,183.4,9,113,103,OH,0,yes,no,2,136,False
5.9,205.1,168.6,2,48,71,VT,0,no,no,3,157,False
12.0,119.3,248.6,1,115,91,WI,25,no,yes,1,107,False
13.1,220.5,145.7,5,136,146,MN,24,no,yes,3,53,False
11.5,273.2,166.9,1,84,101,WY,42,no,yes,1,93,False
11.3,236.7,208.3,5,123,106,OK,0,no,no,3,189,False
13.1,211.2,92.2,6,120,108,ID,0,no,no,1,42,False
14.9,251.6,105.0,5,90,150,OH,0,no,no,0,123,False
12.6,207.0,198.9,4,90,87,MS,30,no,yes,3,107,False
5.5,239.6,182.9,4,85,113,CO,0,no,no,2,104,False
9.8,280.3,94.1,4,122,136,MA,0,no,no,0,73,False
12.8,222.7,147.7,3,78,103,WI,0,no,no,2,105,False
9.7,197.4,175.4,2,127,80,ND,0,no,no,2,149,False
11.9,304.9,201.8,8,128,79,VT,28,no,yes,1,107,False
10.3,213.7,174.5,5,114,73,SC,0,no,no,4,102,False
